designer_names,condition,price,user/seller_score/rating_average,follower_count,location,makeoffer,category,type,created_at,category_path_size,category_size,color,department,title,category_path,brand,hashtags,created_year,created_month,traits,shipping_options,price_drops,image_path
Japanese Brand × Kapital × Mizra Jeans Kyoto,is_used,160,4.755555555555555,57,Asia,True,bottoms,ListProduct,2025-05-15 13:37:31.298,bottoms.denim.30,bottoms.30,gray,menswear,Concave Japan Studded Details Tribal Panel Gray Wash Jeans,bottoms.denim,Kapital,[],2025,5,"{'color': 'gray', 'country_of_origin': 'JP'}","{'us': {'amount': 28}, 'uk': {'amount': 28}, 'eu': {'amount': 28}, 'ca': {'amount': 28}, 'asia': {'amount': 28}, 'au': {'amount': 28}, 'other': {'amount': 28}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/a5680d5adf694ac889b95e3f5e11bd82.jpg
Kapital × Number (N)ine × Vintage,is_gently_used,179,5.0,70,Europe,True,bottoms,ListProduct,2025-05-14 17:16:20.980,bottoms.denim.34,bottoms.34,blue,menswear,Vintage Kapital Inspired Hippie Denim Saschiko Patchwork,bottoms.denim,Kapital,[],2025,5,"{'color': 'blue', 'country_of_origin': 'PL'}","{'us': {'amount': 15}, 'uk': {'amount': 15}, 'eu': {'amount': 15}, 'ca': {'amount': 15}, 'asia': {'amount': 15}, 'au': {'amount': 15}, 'other': {'amount': 15}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/a727e26491ee41659d8bdfd8a2bed1e9.jpg
Kapital × Kapital Kountry,is_new,900,4.916666666666667,31,United States,True,bottoms,ListProduct,2025-05-16 00:48:05.189,bottoms.shorts.32,bottoms.32,blue,menswear,Kapital 14oz Denim 5P Shorts (BONE Embroidery),bottoms.shorts,Kapital,"['jeans', 'denim', 'skull', 'kapital', 'bone', 'shorts', 'kountry', 'mexican']",2025,5,"{'color': 'blue', 'country_of_origin': 'JP'}","{'us': {'amount': 13}, 'uk': {'amount': 25}, 'eu': {'amount': 25}, 'ca': {'amount': 25}, 'asia': {'amount': 25}, 'au': {'amount': 25}, 'other': {'amount': 25}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/650d840e680943da91c2d7d529a3d071.jpg
Kapital,is_used,418,4.428571428571429,16,Europe,True,bottoms,ListProduct,2025-05-15 19:07:50.641,bottoms.cropped_pants.32,bottoms.32,multi,menswear,Steal Grail! Japan Kapital boro jeans pants custom,bottoms.cropped_pants,Kapital,[],2025,5,"{'color': 'multi', 'country_of_origin': 'US'}","{'us': {'amount': 20}, 'uk': {'amount': 15}, 'eu': {'amount': 15}, 'ca': {'amount': 35}, 'asia': {'amount': 15}, 'au': {'amount': 35}, 'other': {'amount': 25}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/6237eedf706d432095a986e93ee810da.jpg
Kapital,is_new,601,4.948477751756441,6,Asia,True,bottoms,ListProduct,2025-05-16 20:04:46.704,bottoms.denim.32,bottoms.32,blue,menswear,Kapital Gemstone Denim Pants Blue Size 32-2505,bottoms.denim,Kapital,[],2025,5,"{'color': 'blue', 'country_of_origin': 'JP'}","{'us': {'amount': 0}, 'uk': {'amount': 0}, 'eu': {'amount': 0}, 'ca': {'amount': 0}, 'asia': {'amount': 0}, 'au': {'amount': 0}, 'other': {'amount': 0}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/f51b3ad8789543bcadf9e5cb1a73c0b1.jpg
Kapital,is_gently_used,199,4.938461538461539,6,Asia,False,bottoms,ListProduct,2025-05-16 17:47:43.035,bottoms.sweatpants_joggers.32,bottoms.32,brown,menswear,KAPITAL Ska Tape flare smooth Track Pants Size 2 souvenir,bottoms.sweatpants_joggers,Kapital,[],2025,5,"{'color': 'brown', 'country_of_origin': 'JP'}","{'us': {'amount': 30}, 'uk': {'amount': 30}, 'eu': {'amount': 30}, 'ca': {'amount': 30}, 'asia': {'amount': 30}, 'au': {'amount': 40}, 'other': {'amount': 30}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/4c8fdc32ca8040129447ec4e7833a117.jpg
Kapital,is_gently_used,500,5.0,5,United States,True,bottoms,ListProduct,2025-05-16 22:35:51.764,bottoms.casual_pants.34,bottoms.34,black,menswear,Kapital Gemstone Corduroy,bottoms.casual_pants,Kapital,[],2025,5,"{'color': 'black', 'country_of_origin': 'JP'}","{'us': {'amount': 15}, 'uk': {'amount': 50}, 'eu': {'amount': 50}, 'ca': {'amount': 40}, 'asia': {'amount': 60}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/9962c45d77194633a43d49a9d5ae3489.jpg
Japanese Brand × Kapital × Vintage,is_worn,165,4.903846153846154,22,Asia,True,bottoms,ListProduct,2025-05-14 16:35:53.572,bottoms.denim.32,bottoms.32,blue,menswear,VTG STUDIO D ARTISAN SELVEDGE BUCKLE BACK DISTRESSED DENIM,bottoms.denim,Kapital,[],2025,5,"{'color': 'blue', 'country_of_origin': 'JP'}","{'us': {'amount': 35}, 'uk': {'amount': 35}, 'eu': {'amount': 35}, 'ca': {'amount': 35}, 'asia': {'amount': 25}, 'au': {'amount': 35}, 'other': {'amount': 35}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/65448e8ec46143768215d2a386d81398.jpg
Japanese Brand × Kapital × Kapital Kountry,is_new,450,5.0,7,United States,True,bottoms,ListProduct,2025-05-16 02:41:22.632,bottoms.swimwear.36,bottoms.36,red,menswear,Red Kapital Bone swim shorts size 4/XL,bottoms.swimwear,Kapital,[],2025,5,"{'color': 'red', 'country_of_origin': 'JP'}","{'us': {'amount': 9}, 'uk': {'amount': 50}, 'eu': {'amount': 50}, 'ca': {'amount': 50}, 'asia': {'amount': 50}, 'au': {'amount': 50}, 'other': {'amount': 50}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/e96cd80d5804429abe9bc1ac49bec0e0.jpg
Kapital,is_gently_used,550,4.938461538461539,5,Asia,False,bottoms,ListProduct,2025-05-16 14:13:50.683,bottoms.denim.32,bottoms.32,blue,menswear,✅Kapital 12.5oz denim bone mexican okagilly jeans stk 32inch,bottoms.denim,Kapital,[],2025,5,"{'color': 'blue', 'country_of_origin': 'JP'}","{'us': {'amount': 40}, 'uk': {'amount': 40}, 'eu': {'amount': 40}, 'ca': {'amount': 40}, 'asia': {'amount': 30}, 'au': {'amount': 40}, 'other': {'amount': 40}}","[nan, nan, nan, nan]",kapital/bottoms/listproduct/af1f18535b1a43078faf37eae38ff938.jpg
